Hey	UH	hey
,	,	,
are	VBP	be
there	RB	there
any	DT	any
girls	NNS	girl
here	RB	here
with	IN	with
a	DT	a
savior	NN	savior
complex	NN	complex
?	SENT	?
I	PP	I
really	RB	really
need	VBP	need
that	IN	that
right	RB	right
now	RB	now
,	,	,
just	RB	just
for	IN	for
general	JJ	general
information	NN	information
.	SENT	.
I	PP	I
’m	NP	<unknown>
22	CD	@card@
.	SENT	.
I	PP	I
can	MD	can
draw	VB	draw
,	,	,
do	VBP	do
3D	JJ	3D
,	,	,
even	RB	even
make	VB	make
games	NNS	game
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
n’t	RB	n't
left	VBN	leave
the	DT	the
house	NN	house
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
,	,	,
so	RB	so
I	PP	I
really	RB	really
need	MD	need
help	VB	help
getting	VBG	get
back	RB	back
to	TO	to
normal	JJ	normal
life	NN	life
.	SENT	.
I	PP	I
’ve	VBP	have
completely	RB	completely
lost	VBN	lose
the	DT	the
desire	NN	desire
to	TO	to
do	VB	do
anything	NN	anything
,	,	,
and	CC	and
it	PP	it
’s	VBZ	be
fucking	VBG	fuck
not	RB	not
okay	JJ	okay
with	IN	with
me	PP	me
.	SENT	.
P.S.	NP	<unknown>
It	PP	it
’s	VBZ	be
kind	NN	kind
of	IN	of
depressing	VBG	depress
that	IN	that
most	JJS	most
of	IN	of
the	DT	the
replies	VBZ	reply
here	RB	here
come	VB	come
from	IN	from
grown	VBN	grow
men	NNS	man
who	WP	who
are	VBP	be
clearly	RB	clearly
looking	VBG	look
for	IN	for
support	NN	support
themselves	PP	themselves
.	SENT	.
