Has	VBZ	have
made	VBN	make
me	PP	me
a	DT	a
loner	NN	loner
.	SENT	.
I	PP	I
am	VBP	be
constantly	RB	constantly
looking	VBG	look
for	IN	for
ways	NNS	way
to	TO	to
keep	VB	keep
people	NNS	people
at	IN	at
bay	NN	bay
emotionally	RB	emotionally
and	CC	and
keep	VB	keep
all	PDT	all
my	PP$	my
relationships	NNS	relationship
transactional	JJ	transactional
.	SENT	.
With	IN	with
success	NN	success
,	,	,
you	PP	you
see	VBP	see
the	DT	the
necessity	NN	necessity
to	TO	to
avoid	VB	avoid
emotional	JJ	emotional
entanglements	NNS	entanglement
.	SENT	.
Anyone	NN	anyone
with	IN	with
a	DT	a
similar	JJ	similar
story	NN	story
?	SENT	?
