17	CD	@card@
F	NN	F
,	,	,
I	PP	I
know	VBP	know
I	PP	I
have	VBP	have
not	RB	not
lived	VBN	live
a	DT	a
long	JJ	long
life	NN	life
but	CC	but
since	IN	since
first	JJ	first
grade	NN	grade
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
have	VBP	have
been	VBN	be
like	IN	like
the	DT	the
complete	JJ	complete
opposite	NN	opposite
of	IN	of
a	DT	a
magnet	NN	magnet
with	IN	with
people	NNS	people
.	SENT	.
Everyone	NN	everyone
around	IN	around
me	PP	me
,	,	,
people	NNS	people
in	IN	in
my	PP$	my
class	NN	class
,	,	,
people	NNS	people
in	IN	in
my	PP$	my
school	NN	school
,	,	,
my	PP$	my
family	NN	family
members	NNS	member
all	RB	all
have	VBP	have
friends	NNS	friend
that	WDT	that
they	PP	they
have	VBP	have
a	DT	a
good	JJ	good
connection	NN	connection
with	IN	with
,	,	,
talk	VB	talk
about	RB	about
,	,	,
hang	VB	hang
out	RP	out
with	IN	with
.	SENT	.
School	NP	School
is	VBZ	be
awkward	JJ	awkward
,	,	,
people	NNS	people
will	MD	will
ignore	VB	ignore
me	PP	me
,	,	,
avoid	VB	avoid
eye	NN	eye
contact	NN	contact
,	,	,
nobody	NN	nobody
wants	VBZ	want
me	PP	me
in	IN	in
their	PP$	their
group	NN	group
project	NN	project
,	,	,
I	PP	I
feel	VBP	feel
like	IN	like
nobody	NN	nobody
tolerates	VBZ	tolerate
me	PP	me
not	RB	not
even	RB	even
the	DT	the
teachers	NNS	teacher
.	SENT	.
Back	RB	back
home	RB	home
I	PP	I
have	VBP	have
no	DT	no
plans	NNS	plan
or	CC	or
messages	NNS	message
.	SENT	.
I	PP	I
want	VBP	want
nothing	NN	nothing
more	RBR	more
than	IN	than
to	TO	to
just	RB	just
have	VB	have
someone	NN	someone
that	WDT	that
wants	VBZ	want
to	TO	to
interact	VB	interact
and	CC	and
do	VB	do
things	NNS	thing
with	IN	with
me	PP	me
,	,	,
but	CC	but
I	PP	I
feel	VBP	feel
like	IN	like
if	IN	if
nobody	NN	nobody
ever	RB	ever
wanted	VBD	want
me	PP	me
or	CC	or
showed	VBD	show
a	DT	a
single	JJ	single
sign	NN	sign
then	RB	then
I	PP	I
should	MD	should
n’t	RB	n't
bother	VB	bother
trying	VBG	try
?	SENT	?
