Exams	NNS	exam
are	VBP	be
finally	RB	finally
over	RB	over
and	CC	and
now	RB	now
I	PP	I
just	RB	just
feel	VBP	feel
…	NN	<unknown>
empty	JJ	empty
?	SENT	?
Like	IN	like
I	PP	I
’ve	VBP	have
lost	VBN	lose
my	PP$	my
purpose	NN	purpose
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
even	RB	even
feel	VB	feel
like	IN	like
gaming	NN	gaming
anymore	RB	anymore
.	SENT	.
How	WRB	how
would	MD	would
you	PP	you
spend	VB	spend
this	DT	this
time	NN	time
?	SENT	?
Edit	VB	edit
:	:	:
nvm	NN	<unknown>
,	,	,
please	VBP	please
just	RB	just
ignore	VB	ignore
this	DT	this
.	SENT	.
Sorry	RB	sorry
for	IN	for
wasting	VBG	waste
everyone	NN	everyone
’s	POS	's
time	NN	time
.	SENT	.
